ICMR 1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global communications revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue (bn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Data derived from  various sources: PwC Global Entertainment and Media Outlook 2014-2018 @ www.pwc.com/outlook for television and radio revenues (both include advertising, license fees and subscription services only), Wik Consult / Ofcom estimates for postal revenues. IHS / industry data / Ofcom for telecoms revenues, which refer to retail revenues for fixed voice, broadband and mobile services. Interpretation and manipulation of data are solely Ofcom's responsibility. Ofcom has used IMF 2013 average exchange rates in converting from local currency to GBP.Note: Postal revenues are for our 17 comparator countries only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(£bn),2008,2009,2010,2011,2012,2013,CAGR,YoY,,,,,,,,,,,,,,,,,,,,,
ESP,83,138,228,119,,,,,,,,,,,,,,,,,,,,,,,,,
USA,76,240,144,103,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of consumers buying more than one communications service from the same provider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014Base: All respondents with more than one service, UK=956, FRA=945, GER=941, ITA=931, USA=845, JPN=798, AUS=914, ESP=947, CHN=854Q.5 Do you receive a package or bundle of two or more of these services from the same supplier?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,,,,,,,,,,,,,
Fixed phone & fixed broadband,39,31,47,26,16,28,32,17,11,,,,,,,,,,,,,,,,,,,,
"Fixed phone, fixed broadband & pay-TV",25,6,5,2,15,1,4,5,1,,,,,,,,,,,,,,,,,,,,
"Fixed phone, fixed broadband & mobile phone",2,20,7,6,1,5,8,21,6,,,,,,,,,,,,,,,,,,,,
"Fixed phone, fixed broadband, pay-TV & mobile phone",3,6,1,1,1,0,2,8,3,,,,,,,,,,,,,,,,,,,,
"Fixed phone, fixed broadband, mobile phone & mobile broadband",1,2,2,5,0,2,3,7,2,,,,,,,,,,,,,,,,,,,,
Other,13,22,21,40,32,24,21,32,57,,,,,,,,,,,,,,,,,,,,
Total,83,88,83,80,67,59,70,90,80,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lowest available' (including bundles) pricing for the ‘connected family’ household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£ per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom, using data supplied by Teligen / OECDNote: Excludes the TV licence fee. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,84,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,157,131,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,103,116,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,158,132,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,224,218,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lowest available' (including bundles) pricing for the ‘basic needs’ household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£ per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom, using data supplied by TeligenNote: Excludes the TV licence fee. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,34,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,36,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,35,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,28,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,40,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,50,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comparison of international pricing: 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price (£ per month),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom / TeligenNote: Green circle indicates the lowest pricing across all six countries included in this analysis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,‘Basic needs’ household,,‘Late adopters’ household,,‘Mobile power user’ household,,‘Connected family’ household,,‘Sophisticated couple’ household,,,,,,,,,,,,,,,,,,,,
Price (£ per month),‘Weighted average’,‘Lowest available’,‘Weighted average’,‘Lowest available’,‘Weighted average’,‘Lowest available’,‘Weighted average’,‘Lowest available’,‘Weighted average’,‘Lowest available’,,,,,,,,,,,,,,,,,,,
UK,40,28,61,40,81,69,150,96,172,121,,,,,,,,,,,,,,,,,,,
FRA,42,30,69,33,81,60,174,80,168,108,,,,,,,,,,,,,,,,,,,
GER,44,26,94,47,130,101,261,131,216,126,,,,,,,,,,,,,,,,,,,
ITA,46,25,79,41,91,75,207,116,178,103,,,,,,,,,,,,,,,,,,,
ESP,49,21,87,50,128,106,223,132,187,143,,,,,,,,,,,,,,,,,,,
US,75,44,112,87,153,118,286,218,275,214,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Average overall rank based on ‘weighted average’ stand-alone and lowest available prices, available across all five households: 2013 and 2014 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom / Teligen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014 rank,Country,Average, Average,,,,,,,,,,,,,,,,,,,,,,,,,,
,, rank 2013, rank 2014,,,,,,,,,,,,,,,,,,,,,,,,,,
1=,UK,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1=,FRA,2.4,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
3=,ITA,2,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
4=,GER,4,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
4=,ESP,4.8,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
6=,USA,5.9,6,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4G population coverage (%) by country: 2012- 2013 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population coverage (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Country Code,2012,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,UK,17,63,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCE,FRA,6,68,,,,,,,,,,,,,,,,,,,,,,,,,,
GERMANY,GER,52,81,,,,,,,,,,,,,,,,,,,,,,,,,,
ITALY,ITA,17,39,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,USA,89,97,,,,,,,,,,,,,,,,,,,,,,,,,,
JAPAN,JPN,60,82,,,,,,,,,,,,,,,,,,,,,,,,,,
AUSTRALIA,AUS,53,85,,,,,,,,,,,,,,,,,,,,,,,,,,
SPAIN,ESP,0,47,,,,,,,,,,,,,,,,,,,,,,,,,,
NETHERLANDS,NED,0,90,,,,,,,,,,,,,,,,,,,,,,,,,,
SWEDEN,SWE,93,99,,,,,,,,,,,,,,,,,,,,,,,,,,
POLAND,POL,50,66,,,,,,,,,,,,,,,,,,,,,,,,,,
SINGAPORE,SGP,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH_KOREA,KOR,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,
BRAZIL,BRA,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,
RUSSIA,RUS,25,36,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIA,IND,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINA,CHN,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
NIGERIA,NGA,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile connections by technology: 2008 and 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total mobile connections (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IHS / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2g,3g,4g,,,,,,,,,,,,,,,,,,,,,,,,,
UK,2008,75,25,0,,,,,,,,,,,,,,,,,,,,,,,,,
UK,2013,19,77,4,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2008,80,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2013,52,43,4,,,,,,,,,,,,,,,,,,,,,,,,,
GER,2008,80,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
GER,2013,45,50,5,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,2008,67,33,0,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,2013,41,55,3,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2008,72,28,0,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2013,5,72,23,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2008,16,84,0,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2013,0,78,22,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,2008,11,69,20,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,2013,67,76,3,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,2008,67,33,0,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,2013,21,76,3,,,,,,,,,,,,,,,,,,,,,,,,,
NED,2008,83,17,0,,,,,,,,,,,,,,,,,,,,,,,,,
NED,2013,47,49,4,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,2008,65,35,0,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,2013,20,69,11,,,,,,,,,,,,,,,,,,,,,,,,,
POL,2008,63,37,0,,,,,,,,,,,,,,,,,,,,,,,,,
POL,2013,26,72,2,,,,,,,,,,,,,,,,,,,,,,,,,
SGP,2008,61,39,0,,,,,,,,,,,,,,,,,,,,,,,,,
SGP,2013,13,62,24,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,2008,33,67,0,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,2013,7,42,51,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,2008,99,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,2013,62,37,1,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,2008,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,2013,87,13,1,,,,,,,,,,,,,,,,,,,,,,,,,
IND,2008,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
IND,2013,93,7,0,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2008,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2013,66,34,0,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,2008,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,2013,83,17,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reasons for choosing 4G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014Base: All respondents who have or are likely to get 4G, UK=285, FRA=293, GER=192, ITA=362, USA=409, JPN=259, AUS=440, ESP=406, CHN=539Q.23 You said that you have/ are likely to get a 4G service [in the next 12 months]. Which of the following are reasons why you got/ are likely to get a 4G contract?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,,,,,,,,,,,,,
Quicker download speeds,40,40,56,53,43,57,38,51,71,,,,,,,,,,,,,,,,,,,,
More reliable data connection,39,28,48,51,39,30,36,34,54,,,,,,,,,,,,,,,,,,,,
Quicker streaming speeds,33,18,44,47,37,37,28,55,54,,,,,,,,,,,,,,,,,,,,
Improved data coverage,33,40,35,44,39,11,35,42,40,,,,,,,,,,,,,,,,,,,,
To take advantage of newest phones,26,28,37,34,29,38,31,43,31,,,,,,,,,,,,,,,,,,,,
To keep up with technology developments,26,36,25,26,27,8,29,22,51,,,,,,,,,,,,,,,,,,,,
It was provided automatically by the operator without me doing anything,31,32,29,17,39,24,42,32,19,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Proportion of respondents video streaming/downloading on a mobile phone at least weekly, among 4G and non-4G users",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014Base: All respondents, UK=1011, FRA=1027, GER=1006, ITA=1006, USA=1000, JPN=1003, AUS=1000, ESP=1002, CHN=1010. Q3b.  Which of the following SERVICES do you have in your home? Q9a. Which, if any, of the following internet activities do you use each of your devices for?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,,,,,,,,,,,,,
non-4G,21,18,16,33,32,25,28,35,51,,,,,,,,,,,,,,,,,,,,
4G,37,25,37,50,50,29,42,51,76,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP difference,16,7,21,17,18,4,14,16,25,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satisfaction with mobile phone services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of 4G/non 4G respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014 Base (4G): All respondents with mobile broadband internet access or those who access the internet access via a mobile handset on a 4G network, UK=81, FRA=99, GER=54, ITA=83, USA=136, JPN=93, AUS=164, ESP=113, CHN=132. PLEASE NOTE: low base sizesBase (non-4G): All respondents with mobile broadband internet access or those who access the internet access via a mobile handset not on a 4G network, UK=252, FRA=261, GER=315, ITA=562, USA=138, JPN=140, AUS=282, ESP=491, CHN=431 Q.25 To what extent are you satisfied or dissatisfied with the following aspects of your mobile phone service?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of 4G respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,,,,,,,,,,,,,
  Overall service,91,89,88,82,86,74,85,87,85,,,,,,,,,,,,,,,,,,,,
  Price paid,66,62,70,76,64,38,64,56,64,,,,,,,,,,,,,,,,,,,,
 Ability to access network,86,75,72,81,78,64,80,77,77,,,,,,,,,,,,,,,,,,,,
 Reliability of internet connection,82,72,79,80,72,61,77,77,72,,,,,,,,,,,,,,,,,,,,
 Speed of internet connection,84,71,78,77,77,64,74,80,77,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of non-4G respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,,,,,,,,,,,,,
  Overall service,81,79,82,80,86,63,81,75,80,,,,,,,,,,,,,,,,,,,,
  Price paid,80,67,71,70,72,29,73,60,57,,,,,,,,,,,,,,,,,,,,
 Ability to access network,71,71,64,69,75,42,71,62,52,,,,,,,,,,,,,,,,,,,,
 Reliability of internet connection,64,61,56,62,67,41,62,58,55,,,,,,,,,,,,,,,,,,,,
 Speed of internet connection,60,55,53,58,66,37,55,52,45,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levels of interest in types of news,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Reuters Institute / YouGov research Jan/Feb 2014Q: Which of the following types of news is most important to you? Choose up to five. Base: UK (n=2082) France (n=1946) Germany (n=2063) Italy (n=2010) US (n=2197) Japan (n=1973) Spain (n=2017) urban Brazil(1015)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,US,JPN,ESP,Urban ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BRA,,,,,,,,,,,,,,,,,,,,,
News about the country,71%,64%,67%,59%,57%,52%,63%,66%,,,,,,,,,,,,,,,,,,,,,
International news,49%,52%,64%,49%,39%,43%,45%,41%,,,,,,,,,,,,,,,,,,,,,
Local news about my town or city,46%,37%,47%,45%,57%,31%,42%,47%,,,,,,,,,,,,,,,,,,,,,
News about my region,38%,41%,51%,38%,31%,33%,42%,12%,,,,,,,,,,,,,,,,,,,,,
Business and financial news,21%,15%,17%,15%,20%,26%,13%,29%,,,,,,,,,,,,,,,,,,,,,
News about the economy,39%,27%,29%,33%,46%,44%,38%,34%,,,,,,,,,,,,,,,,,,,,,
Entertainment and celebrity news,17%,13%,15%,13%,15%,24%,14%,22%,,,,,,,,,,,,,,,,,,,,,
Fun/weird news,15%,22%,14%,21%,16%,28%,18%,15%,,,,,,,,,,,,,,,,,,,,,
Health and education news,28%,31%,30%,38%,28%,30%,37%,57%,,,,,,,,,,,,,,,,,,,,,
Arts and culture news,12%,15%,9%,24%,10%,15%,19%,27%,,,,,,,,,,,,,,,,,,,,,
Sports news,29%,25%,28%,29%,20%,28%,35%,30%,,,,,,,,,,,,,,,,,,,,,
News about the country’s politics,37%,45%,51%,54%,46%,52%,40%,37%,,,,,,,,,,,,,,,,,,,,,
Science and technology news,25%,28%,27%,35%,28%,26%,33%,43%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Main online source of news, by country",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Reuters Institute / YouGov research Jan/Feb 2014Q8b.5  You say you use the following devices to access news in the last week, which is your MAIN way of accessing online news?Base: UK (n=2082) France (n=1946) Germany (n=2063) Italy (n=2010) US (n=2197) Japan (n=1973) Spain (n=2017) urban Brazil(1015)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,JPN,ESP,Urban ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BRA,,,,,,,,,,,,,,,,,,,,,
Computer ,57%,61%,60%,69%,69%,79%,63%,62%,,,,,,,,,,,,,,,,,,,,,
Smartphone,24%,22%,24%,19%,17%,15%,22%,18%,,,,,,,,,,,,,,,,,,,,,
Tablet,16%,8%,9%,8%,10%,3%,9%,8%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Preference for diverse news, by country",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Reuters Institute / YouGov research Jan/Feb 2014Q5c: Thinking about different kinds of news available to you, do you prefer where the reporter tries to reflect… Base: UK (n=2082) France (n=1946) Germany (n=2063) Italy (n=2010) US (n=2197) Japan (n=1973) Spain (n=2017) urban Brazil(1015)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,ESP,BRA,,,,,,,,,,,,,,,,,,,,,
Range of views,79%,88%,87%,69%,79%,81%,81%,71%,,,,,,,,,,,,,,,,,,,,,
Particular view,21%,12%,13%,31%,21%,19%,19%,29%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Comparison of online use of traditional brands, search engines and social media",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Reuters Institute / YouGov research Jan/Feb 2014Q10: Which were the ways in which you came across news stories last week?Base: UK (n=2082) France (n=1946) Germany (n=2063) Italy (n=2010) US (n=2197) Japan (n=1973) Spain (n=2017) urban Brazil(1015)Note: respondents were asked about ways of accessing news additional to the subset discussed here ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Brand,Search engine,Social media ,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,45%,29%,17%,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,23%,40%,14%,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,27%,42%,15%,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,39%,59%,34%,,,,,,,,,,,,,,,,,,,,,,,,,,
